first_name,last_name,sex,dob,nationality,race,occupation,contact_no,email,blk,street,unit_no,postcode
HAO HAO,LIM,MALE,1982-02-14,SINGAPOREAN,CHINESE,GRAPHIC DESIGNER,6599906820,haohao_lim@gmail.com,442,BEDOK NORTH RD,02-12,329258
VIKRAM,RAO,MALE,1973-03-21,SINGAPOREAN,INDIAN,BANK TELLER,6593612365,v.rao@hotmail.com,990,UPPER BUKIT TIMAH RD,22-14,197251
AYESHA,AHMED,FEMALE,1946-12-05,BANGLADESHI,BANGLADESHI,BANK TELLER,6593823498,a.ahmed@hotmail.com,801,TAMPINES ST,06-30,205907
MARIA,REYES,FEMALE,1997-05-19,FILIPINO,FILIPINO,STUDENT,6599344066,maria.reyes@hotmail.com,234,BALESTIER RD,21-99,913694
HASSAN,BINTE ZAINAL,MALE,1989-05-07,SINGAPOREAN,MALAY,BUSINESS OWNER,6599418194,hassan.bintezainal@yahoo.com.sg,561,SENGKANG EAST WAY,38-55,711878
ARJUN,PILLAI,MALE,1979-09-28,SINGAPOREAN,INDIAN,SALES MANAGER,6594218028,arjun_pillai@hotmail.com,576,KALLANG BAHRU,01-88,855731
MEENA,KUMAR,FEMALE,1968-11-16,SINGAPOREAN,INDIAN,TEACHER,6595007072,meena.kumar@gmail.com,871,QUEENSTOWN RD,33-78,308573
ARJUN,KUMAR,MALE,1947-02-13,INDIAN,INDIAN,SALES MANAGER,6598153566,a.kumar@yahoo.com.sg,845,BUKIT BATOK ST,35-99,231869
TING YAN,GOH,FEMALE,1981-08-20,MALAYSIAN,CHINESE,ACCOUNTANT,6592030113,tingyan.goh@yahoo.com.sg,263,PASIR RIS DR,05-44,122056
SANJAY,KUMAR,MALE,1983-10-23,INDIAN,INDIAN,MARKETING EXECUTIVE,6597930103,sanjay_kumar@outlook.com,258,CHINATOWN POINT,31-53,299659
HASSAN,BIN ISMAIL,MALE,1948-05-07,SINGAPOREAN,MALAY,UNEMPLOYED,6593214348,h.binismail@yahoo.com.sg,204,BISHAN ST,29-18,542374
EMMA,BROWN,FEMALE,1980-04-19,BRITISH,OTHER,ELECTRICIAN,6596728339,e.brown@outlook.com,934,BEDOK NORTH RD,11-49,102260
EMMA,FERNANDEZ,FEMALE,2003-09-02,SINGAPOREAN,EURASIAN,WAREHOUSE WORKER,6598436429,emma.fernandez@yahoo.com.sg,951,KALLANG BAHRU,34-21,159642
MARIA,SANTOS,FEMALE,1983-10-17,FILIPINO,FILIPINO,RETIRED,6598770838,maria.santos@hotmail.com,333,ADMIRALTY DR,17-27,802258
CLARA,SANTOS,FEMALE,1991-09-17,FILIPINO,FILIPINO,SOCIAL MEDIA MANAGER,6594449324,clara.santos@outlook.com,145,ADMIRALTY DR,23-09,356150
SITI,BIN ISMAIL,FEMALE,1988-10-10,MALAYSIAN,MALAY,DELIVERY DRIVER,6592607983,siti_binismail@hotmail.com,288,TAMPINES ST,39-27,852470
HAO MIN,NG,MALE,1962-12-28,SINGAPOREAN,CHINESE,MAINTENANCE TECHNICIAN,6597175395,haomin_ng@gmail.com,584,ANG MO KIO AVE,08-10,824586
JIA TING,LEE,FEMALE,1968-06-30,SINGAPOREAN,CHINESE,TEACHER,6599393286,jiating.lee@yahoo.com.sg,915,KALLANG BAHRU,27-80,885884
MARIA,CRUZ,FEMALE,2007-02-25,FILIPINO,FILIPINO,CLEANER,6596417985,m.cruz@hotmail.com,903,BEDOK NORTH RD,31-29,309267
ANITA,NAIR,FEMALE,1977-12-14,SINGAPOREAN,INDIAN,ACCOUNTANT,6598996207,a.nair@gmail.com,349,ANG MO KIO AVE,08-34,287241
HASSAN,BINTE RAHMAN,MALE,2007-08-12,SINGAPOREAN,MALAY,ADMINISTRATIVE OFFICER,6590028374,hassan_binterahman@yahoo.com.sg,542,ADMIRALTY DR,35-88,854377
YAN TING,CHUA,FEMALE,2007-06-01,SINGAPOREAN,CHINESE,LOGISTICS COORDINATOR,6599301497,yanting.chua@hotmail.com,140,JURONG WEST ST,27-86,497562
FATIMAH,BINTE ZAINAL,FEMALE,1971-09-19,SINGAPOREAN,MALAY,FREELANCER,6597938746,fatimah_bintezainal@hotmail.com,822,BOON LAY WAY,11-85,188914
WEI XIN,CHUA,MALE,1963-04-10,SINGAPOREAN,CHINESE,FREELANCE WRITER,6596442089,weixin.chua@outlook.com,516,GEYLANG RD,16-19,787926
SANJAY,RAO,MALE,1982-11-01,SINGAPOREAN,INDIAN,RETIRED,6595323376,sanjay_rao@outlook.com,982,UPPER BUKIT TIMAH RD,29-79,954596
SANJAY,RAO,MALE,1999-02-09,MALAYSIAN,INDIAN,MARKETING EXECUTIVE,6594793722,sanjay.rao@yahoo.com.sg,250,SENGKANG EAST WAY,22-41,666390
XIN XIN,TAN,MALE,1963-07-14,SINGAPOREAN,CHINESE,DOCTOR,6598002392,xx.tan@yahoo.com.sg,16,ORCHARD RD,20-97,508930
SITI,BINTE ZAINAL,FEMALE,1964-09-30,SINGAPOREAN,MALAY,SOFTWARE ENGINEER,6590452421,siti_bintezainal@outlook.com,938,GEYLANG RD,38-73,795205
XIN MIN,CHUA,MALE,1987-08-29,SINGAPOREAN,CHINESE,MARKETING COORDINATOR,6590325197,xinmin_chua@gmail.com,777,BISHAN ST,04-45,335113
AHMAD,BINTE ZAINAL,MALE,1976-03-26,SINGAPOREAN,MALAY,SOFTWARE DEVELOPER,6591921542,a.bintezainal@outlook.com,806,TIONG BAHRU RD,11-40,213349
JIA YAN,TAN,FEMALE,1998-12-05,SINGAPOREAN,CHINESE,OFFICE CLERK,6596217147,jy.tan@gmail.com,80,PUNGGOL WAY,22-02,990844
